time,measure,beat,is_first_in_measure
0.092,1,1,True
0.467,1,2,False
0.842,1,3,False
1.217,1,4,False
1.592,2,1,True
1.967,2,2,False
2.342,2,3,False
2.717,2,4,False
3.092,3,1,True
3.467,3,2,False
3.842,3,3,False
4.217,3,4,False
4.592,4,1,True
4.967,4,2,False
5.342,4,3,False
5.717,4,4,False
6.092,5,1,True
6.467,5,2,False
6.842,5,3,False
7.217,5,4,False
7.592,6,1,True
7.967,6,2,False
8.342,6,3,False
8.717,6,4,False
9.092,7,1,True
9.467,7,2,False
9.842,7,3,False
10.217,7,4,False
10.592,8,1,True
10.967,8,2,False
11.342,8,3,False
11.717,8,4,False
12.092,9,1,True
12.467,9,2,False
12.842,9,3,False
13.217,9,4,False
13.592,10,1,True
13.967,10,2,False
14.342,10,3,False
14.717,10,4,False
15.092,11,1,True
15.467,11,2,False
15.842,11,3,False
16.217,11,4,False
16.592,12,1,True
16.967,12,2,False
17.342,12,3,False
17.717,12,4,False
18.092,13,1,True
18.467,13,2,False
18.842,13,3,False
19.217,13,4,False
19.592,14,1,True
19.967,14,2,False
20.342,14,3,False
20.717,14,4,False
21.092,15,1,True
21.467,15,2,False
21.842,15,3,False
22.217,15,4,False
22.592,16,1,True
22.967,16,2,False
23.342,16,3,False
23.717,16,4,False
24.092,17,1,True
24.467,17,2,False
24.842,17,3,False
25.217,17,4,False
25.592,18,1,True
25.967,18,2,False
26.342,18,3,False
26.717,18,4,False
27.092,19,1,True
27.467,19,2,False
27.842,19,3,False
28.217,19,4,False
28.592,20,1,True
28.967,20,2,False
29.342,20,3,False
29.717,20,4,False
30.092,21,1,True
30.467,21,2,False
30.842,21,3,False
31.217,21,4,False
31.592,22,1,True
31.967,22,2,False
32.342,22,3,False
32.717,22,4,False
33.092,23,1,True
33.467,23,2,False
33.842,23,3,False
34.217,23,4,False
34.592,24,1,True
34.967,24,2,False
35.342,24,3,False
35.717,24,4,False
36.092,25,1,True
36.467,25,2,False
36.842,25,3,False
37.217,25,4,False
37.592,26,1,True
37.967,26,2,False
38.342,26,3,False
38.717,26,4,False
39.092,27,1,True
39.467,27,2,False
39.842,27,3,False
40.217,27,4,False
40.592,28,1,True
40.967,28,2,False
41.342,28,3,False
41.717,28,4,False
42.092,29,1,True
42.467,29,2,False
42.842,29,3,False
43.217,29,4,False
43.592,30,1,True
43.967,30,2,False
44.342,30,3,False
44.717,30,4,False
45.092,31,1,True
45.467,31,2,False
45.842,31,3,False
46.217,31,4,False
46.592,32,1,True
46.967,32,2,False
47.342,32,3,False
47.717,32,4,False
48.092,33,1,True
48.467,33,2,False
48.842,33,3,False
49.217,33,4,False
49.592,34,1,True
49.967,34,2,False
50.342,34,3,False
50.717,34,4,False
51.092,35,1,True
51.467,35,2,False
51.842,35,3,False
52.217,35,4,False
52.592,36,1,True
52.967,36,2,False
53.342,36,3,False
53.717,36,4,False
54.092,37,1,True
54.467,37,2,False
54.842,37,3,False
55.217,37,4,False
55.592,38,1,True
55.967,38,2,False
56.342,38,3,False
56.717,38,4,False
57.092,39,1,True
57.467,39,2,False
57.842,39,3,False
58.217,39,4,False
58.592,40,1,True
58.967,40,2,False
59.342,40,3,False
59.717,40,4,False
60.092,41,1,True
60.467,41,2,False
60.842,41,3,False
61.217,41,4,False
61.592,42,1,True
61.967,42,2,False
62.342,42,3,False
62.717,42,4,False
63.092,43,1,True
63.467,43,2,False
63.842,43,3,False
64.217,43,4,False
64.592,44,1,True
64.967,44,2,False
65.342,44,3,False
65.717,44,4,False
66.092,45,1,True
66.467,45,2,False
66.842,45,3,False
67.217,45,4,False
67.592,46,1,True
67.967,46,2,False
68.342,46,3,False
68.717,46,4,False
69.092,47,1,True
69.467,47,2,False
69.842,47,3,False
70.217,47,4,False
70.592,48,1,True
70.967,48,2,False
71.342,48,3,False
71.717,48,4,False
72.092,49,1,True
72.467,49,2,False
72.842,49,3,False
73.217,49,4,False
73.592,50,1,True
73.967,50,2,False
74.342,50,3,False
74.717,50,4,False
75.092,51,1,True
75.467,51,2,False
75.842,51,3,False
76.217,51,4,False
76.592,52,1,True
76.967,52,2,False
77.342,52,3,False
77.717,52,4,False
78.092,53,1,True
78.467,53,2,False
78.842,53,3,False
79.217,53,4,False
79.592,54,1,True
79.967,54,2,False
80.342,54,3,False
80.717,54,4,False
81.092,55,1,True
81.467,55,2,False
81.842,55,3,False
82.217,55,4,False
82.592,56,1,True
82.967,56,2,False
83.342,56,3,False
83.717,56,4,False
84.092,57,1,True
84.467,57,2,False
84.842,57,3,False
85.217,57,4,False
85.592,58,1,True
85.967,58,2,False
86.342,58,3,False
86.717,58,4,False
87.092,59,1,True
87.467,59,2,False
87.842,59,3,False
88.217,59,4,False
88.592,60,1,True
88.967,60,2,False
89.342,60,3,False
89.717,60,4,False
90.092,61,1,True
90.467,61,2,False
90.842,61,3,False
91.217,61,4,False
91.592,62,1,True
91.967,62,2,False
92.342,62,3,False
92.717,62,4,False
93.092,63,1,True
93.467,63,2,False
93.842,63,3,False
94.217,63,4,False
94.592,64,1,True
94.967,64,2,False
95.342,64,3,False
95.717,64,4,False
96.092,65,1,True
96.467,65,2,False
96.842,65,3,False
97.217,65,4,False
97.592,66,1,True
97.967,66,2,False
98.342,66,3,False
98.717,66,4,False
99.092,67,1,True
99.467,67,2,False
99.842,67,3,False
100.217,67,4,False
100.592,68,1,True
100.967,68,2,False
101.342,68,3,False
101.717,68,4,False
102.092,69,1,True
102.467,69,2,False
102.842,69,3,False
103.217,69,4,False
103.592,70,1,True
103.967,70,2,False
104.342,70,3,False
104.717,70,4,False
105.092,71,1,True
105.467,71,2,False
105.842,71,3,False
106.217,71,4,False
106.592,72,1,True
106.967,72,2,False
107.342,72,3,False
107.717,72,4,False
108.092,73,1,True
108.467,73,2,False
108.842,73,3,False
109.217,73,4,False
109.592,74,1,True
109.967,74,2,False
110.342,74,3,False
110.717,74,4,False
111.092,75,1,True
111.467,75,2,False
111.842,75,3,False
112.217,75,4,False
112.592,76,1,True
112.967,76,2,False
113.342,76,3,False
113.717,76,4,False
114.092,77,1,True
114.467,77,2,False
114.842,77,3,False
115.217,77,4,False
115.592,78,1,True
115.967,78,2,False
116.342,78,3,False
116.717,78,4,False
117.092,79,1,True
117.467,79,2,False
117.842,79,3,False
118.217,79,4,False
118.592,80,1,True
118.967,80,2,False
119.342,80,3,False
119.717,80,4,False
120.092,81,1,True
120.467,81,2,False
120.842,81,3,False
121.217,81,4,False
121.592,82,1,True
121.967,82,2,False
122.342,82,3,False
122.717,82,4,False
123.092,83,1,True
123.467,83,2,False
123.842,83,3,False
124.217,83,4,False
124.592,84,1,True
124.967,84,2,False
125.342,84,3,False
125.717,84,4,False
126.092,85,1,True
126.467,85,2,False
126.842,85,3,False
127.217,85,4,False
127.592,86,1,True
127.967,86,2,False
128.342,86,3,False
128.717,86,4,False
129.092,87,1,True
129.467,87,2,False
129.842,87,3,False
130.217,87,4,False
130.592,88,1,True
130.967,88,2,False
131.342,88,3,False
131.717,88,4,False
132.092,89,1,True
132.467,89,2,False
132.842,89,3,False
133.217,89,4,False
133.592,90,1,True
133.967,90,2,False
134.342,90,3,False
134.717,90,4,False
135.092,91,1,True
135.467,91,2,False
135.842,91,3,False
136.217,91,4,False
136.592,92,1,True
136.967,92,2,False
137.342,92,3,False
137.717,92,4,False
138.092,93,1,True
138.467,93,2,False
138.842,93,3,False
139.217,93,4,False
139.592,94,1,True
139.967,94,2,False
140.342,94,3,False
140.717,94,4,False
141.092,95,1,True
141.467,95,2,False
141.842,95,3,False
142.217,95,4,False
142.592,96,1,True
142.967,96,2,False
143.342,96,3,False
143.717,96,4,False
144.092,97,1,True
144.467,97,2,False
144.842,97,3,False
145.217,97,4,False
145.592,98,1,True
145.967,98,2,False
146.342,98,3,False
146.717,98,4,False
147.092,99,1,True
147.467,99,2,False
147.842,99,3,False
148.217,99,4,False
148.592,100,1,True
148.967,100,2,False
149.342,100,3,False
149.717,100,4,False
150.092,101,1,True
150.467,101,2,False
150.842,101,3,False
151.217,101,4,False
151.592,102,1,True
151.967,102,2,False
152.342,102,3,False
152.717,102,4,False
153.092,103,1,True
153.467,103,2,False
153.842,103,3,False
154.217,103,4,False
154.592,104,1,True
154.967,104,2,False
155.342,104,3,False
155.717,104,4,False
156.092,105,1,True
156.467,105,2,False
156.842,105,3,False
157.217,105,4,False
157.592,106,1,True
157.967,106,2,False
158.342,106,3,False
158.717,106,4,False
159.092,107,1,True
159.467,107,2,False
159.842,107,3,False
160.217,107,4,False
160.592,108,1,True
160.967,108,2,False
161.342,108,3,False
161.717,108,4,False
162.092,109,1,True
162.467,109,2,False
162.842,109,3,False
163.217,109,4,False
163.592,110,1,True
163.967,110,2,False
164.342,110,3,False
164.717,110,4,False
165.092,111,1,True
165.467,111,2,False
165.842,111,3,False
166.217,111,4,False
166.592,112,1,True
166.967,112,2,False
167.342,112,3,False
167.717,112,4,False
168.092,113,1,True
168.467,113,2,False
168.842,113,3,False
169.217,113,4,False
169.592,114,1,True
169.967,114,2,False
170.342,114,3,False
170.717,114,4,False
171.092,115,1,True
171.467,115,2,False
171.842,115,3,False
172.217,115,4,False
172.592,116,1,True
172.967,116,2,False
173.342,116,3,False
173.717,116,4,False
174.092,117,1,True
174.467,117,2,False
174.842,117,3,False
175.217,117,4,False
175.592,118,1,True
175.967,118,2,False
176.342,118,3,False
176.717,118,4,False
177.092,119,1,True
177.467,119,2,False
177.842,119,3,False
178.217,119,4,False
178.592,120,1,True
