time,measure,beat,is_first_in_measure
0.035,1,1,True
0.41,1,2,False
0.785,1,3,False
1.16,1,4,False
1.535,2,1,True
1.91,2,2,False
2.285,2,3,False
2.66,2,4,False
3.035,3,1,True
3.41,3,2,False
3.785,3,3,False
4.16,3,4,False
4.535,4,1,True
4.91,4,2,False
5.285,4,3,False
5.66,4,4,False
6.035,5,1,True
6.41,5,2,False
6.785,5,3,False
7.16,5,4,False
7.535,6,1,True
7.91,6,2,False
8.285,6,3,False
8.66,6,4,False
9.035,7,1,True
9.41,7,2,False
9.785,7,3,False
10.16,7,4,False
10.535,8,1,True
10.91,8,2,False
11.285,8,3,False
11.66,8,4,False
12.035,9,1,True
12.41,9,2,False
12.785,9,3,False
13.16,9,4,False
13.535,10,1,True
13.91,10,2,False
14.285,10,3,False
14.66,10,4,False
15.035,11,1,True
15.41,11,2,False
15.785,11,3,False
16.16,11,4,False
16.535,12,1,True
16.91,12,2,False
17.285,12,3,False
17.66,12,4,False
18.035,13,1,True
18.41,13,2,False
18.785,13,3,False
19.16,13,4,False
19.535,14,1,True
19.91,14,2,False
20.285,14,3,False
20.66,14,4,False
21.035,15,1,True
21.41,15,2,False
21.785,15,3,False
22.16,15,4,False
22.535,16,1,True
22.91,16,2,False
23.285,16,3,False
23.66,16,4,False
24.035,17,1,True
24.41,17,2,False
24.785,17,3,False
25.16,17,4,False
25.535,18,1,True
25.91,18,2,False
26.285,18,3,False
26.66,18,4,False
27.035,19,1,True
27.41,19,2,False
27.785,19,3,False
28.16,19,4,False
28.535,20,1,True
28.91,20,2,False
29.285,20,3,False
29.66,20,4,False
30.035,21,1,True
30.41,21,2,False
30.785,21,3,False
31.16,21,4,False
31.535,22,1,True
31.91,22,2,False
32.285,22,3,False
32.66,22,4,False
33.035,23,1,True
33.41,23,2,False
33.785,23,3,False
34.16,23,4,False
34.535,24,1,True
34.91,24,2,False
35.285,24,3,False
35.66,24,4,False
36.035,25,1,True
36.41,25,2,False
36.785,25,3,False
37.16,25,4,False
37.535,26,1,True
37.91,26,2,False
38.285,26,3,False
38.66,26,4,False
39.035,27,1,True
39.41,27,2,False
39.785,27,3,False
40.16,27,4,False
40.535,28,1,True
40.91,28,2,False
41.285,28,3,False
41.66,28,4,False
42.035,29,1,True
42.41,29,2,False
42.785,29,3,False
43.16,29,4,False
43.535,30,1,True
43.91,30,2,False
44.285,30,3,False
44.66,30,4,False
45.035,31,1,True
45.41,31,2,False
45.785,31,3,False
46.16,31,4,False
46.535,32,1,True
46.91,32,2,False
47.285,32,3,False
47.66,32,4,False
48.035,33,1,True
48.41,33,2,False
48.785,33,3,False
49.16,33,4,False
49.535,34,1,True
49.91,34,2,False
50.285,34,3,False
50.66,34,4,False
51.035,35,1,True
51.41,35,2,False
51.785,35,3,False
52.16,35,4,False
52.535,36,1,True
52.91,36,2,False
53.285,36,3,False
53.66,36,4,False
54.035,37,1,True
54.41,37,2,False
54.785,37,3,False
55.16,37,4,False
55.535,38,1,True
55.91,38,2,False
56.285,38,3,False
56.66,38,4,False
57.035,39,1,True
57.41,39,2,False
57.785,39,3,False
58.16,39,4,False
58.535,40,1,True
58.91,40,2,False
59.285,40,3,False
59.66,40,4,False
60.035,41,1,True
60.41,41,2,False
60.785,41,3,False
61.16,41,4,False
61.535,42,1,True
61.91,42,2,False
62.285,42,3,False
62.66,42,4,False
63.035,43,1,True
63.41,43,2,False
63.785,43,3,False
64.16,43,4,False
64.535,44,1,True
64.91,44,2,False
65.285,44,3,False
65.66,44,4,False
66.035,45,1,True
66.41,45,2,False
66.785,45,3,False
67.16,45,4,False
67.535,46,1,True
67.91,46,2,False
68.285,46,3,False
68.66,46,4,False
69.035,47,1,True
69.41,47,2,False
69.785,47,3,False
70.16,47,4,False
70.535,48,1,True
70.91,48,2,False
71.285,48,3,False
71.66,48,4,False
72.035,49,1,True
72.41,49,2,False
72.785,49,3,False
73.16,49,4,False
73.535,50,1,True
73.91,50,2,False
74.285,50,3,False
74.66,50,4,False
75.035,51,1,True
75.41,51,2,False
75.785,51,3,False
76.16,51,4,False
76.535,52,1,True
76.91,52,2,False
77.285,52,3,False
77.66,52,4,False
78.035,53,1,True
78.41,53,2,False
78.785,53,3,False
79.16,53,4,False
79.535,54,1,True
79.91,54,2,False
80.285,54,3,False
80.66,54,4,False
81.035,55,1,True
81.41,55,2,False
81.785,55,3,False
82.16,55,4,False
82.535,56,1,True
82.91,56,2,False
83.285,56,3,False
83.66,56,4,False
84.035,57,1,True
84.41,57,2,False
84.785,57,3,False
85.16,57,4,False
85.535,58,1,True
85.91,58,2,False
86.285,58,3,False
86.66,58,4,False
87.035,59,1,True
87.41,59,2,False
87.785,59,3,False
88.16,59,4,False
88.535,60,1,True
88.91,60,2,False
89.285,60,3,False
89.66,60,4,False
90.035,61,1,True
90.41,61,2,False
90.785,61,3,False
91.16,61,4,False
91.535,62,1,True
91.91,62,2,False
92.285,62,3,False
92.66,62,4,False
93.035,63,1,True
93.41,63,2,False
93.785,63,3,False
94.16,63,4,False
94.535,64,1,True
94.91,64,2,False
95.285,64,3,False
95.66,64,4,False
96.035,65,1,True
96.41,65,2,False
96.785,65,3,False
97.16,65,4,False
97.535,66,1,True
97.91,66,2,False
98.285,66,3,False
98.66,66,4,False
99.035,67,1,True
99.41,67,2,False
99.785,67,3,False
100.16,67,4,False
100.535,68,1,True
100.91,68,2,False
101.285,68,3,False
101.66,68,4,False
102.035,69,1,True
102.41,69,2,False
102.785,69,3,False
103.16,69,4,False
103.535,70,1,True
103.91,70,2,False
