flow_mode,source_file,software_version,mc_start,mc_end,atomic_sections
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,1,2,A
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,17,18,C
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,18,26,D
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,27,E
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,27,42,F
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,42,43,F1
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
atomic,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,44,45,G
printed,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,1,45,A;B;C;D;E;F;F1;F2;G
single,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,1,42,A;B;C;D;E;F
single,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,45,F2;G
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,1,18,A;B;C
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,16,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,43,E;F;F1
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,27,42,F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,34,E;F
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,1,18,A;B;C
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,16,26,B;C;D
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,43,E;F;F1
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,27,42,F
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,43,44,F2
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,26,B;C;D
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,2,17,B
ms3,score_1361-Medrosa-Anacleto_de_Medeiros.measures.tsv,timetoalign 0.2.0,26,42,E;F
