flow_mode,source_file,software_version,mc_start,mc_end,atomic_sections
atomic,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,1,2,A
atomic,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,2,17,B
atomic,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,17,18,B1
atomic,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,18,19,B2
atomic,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,19,35,C
atomic,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,35,36,D
atomic,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,36,52,E
printed,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,1,52,A;B;B1;B2;C;D;E
single,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,1,17,A;B
single,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,18,52,B2;C;D;E
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,1,18,A;B;B1
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,16,17,B
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,18,35,B2;C
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,19,35,C
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,35,52,D;E
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,36,52,E
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,2,17,B
default,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,18,19,B2
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,1,18,A;B;B1
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,16,17,B
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,18,35,B2;C
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,19,35,C
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,2,17,B
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,35,52,D;E
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,36,52,E
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,2,17,B
ms3,score_1988-Ciume_e_brincadeira.measures.tsv,timetoalign 0.2.0,18,19,B2
