time,measure,beat,is_first_in_measure
0.061,1,1,True
0.436,1,2,False
0.811,1,3,False
1.186,1,4,False
1.561,2,1,True
1.936,2,2,False
2.311,2,3,False
2.686,2,4,False
3.061,3,1,True
3.436,3,2,False
3.811,3,3,False
4.186,3,4,False
4.561,4,1,True
4.936,4,2,False
5.311,4,3,False
5.686,4,4,False
6.061,5,1,True
6.436,5,2,False
6.811,5,3,False
7.186,5,4,False
7.561,6,1,True
7.936,6,2,False
8.311,6,3,False
8.686,6,4,False
9.061,7,1,True
9.436,7,2,False
9.811,7,3,False
10.186,7,4,False
10.561,8,1,True
10.936,8,2,False
11.311,8,3,False
11.686,8,4,False
12.061,9,1,True
12.436,9,2,False
12.811,9,3,False
13.186,9,4,False
13.561,10,1,True
13.936,10,2,False
14.311,10,3,False
14.686,10,4,False
15.061,11,1,True
15.436,11,2,False
15.811,11,3,False
16.186,11,4,False
16.561,12,1,True
16.936,12,2,False
17.311,12,3,False
17.686,12,4,False
18.061,13,1,True
18.436,13,2,False
18.811,13,3,False
19.186,13,4,False
19.561,14,1,True
19.936,14,2,False
20.311,14,3,False
20.686,14,4,False
21.061,15,1,True
21.436,15,2,False
21.811,15,3,False
22.186,15,4,False
22.561,16,1,True
22.936,16,2,False
23.311,16,3,False
23.686,16,4,False
24.061,17,1,True
24.436,17,2,False
24.811,17,3,False
25.186,17,4,False
25.561,18,1,True
25.936,18,2,False
26.311,18,3,False
26.686,18,4,False
27.061,19,1,True
27.436,19,2,False
27.811,19,3,False
28.186,19,4,False
28.561,20,1,True
28.936,20,2,False
29.311,20,3,False
29.686,20,4,False
30.061,21,1,True
30.436,21,2,False
30.811,21,3,False
31.186,21,4,False
31.561,22,1,True
31.936,22,2,False
32.311,22,3,False
32.686,22,4,False
33.061,23,1,True
33.436,23,2,False
33.811,23,3,False
34.186,23,4,False
34.561,24,1,True
34.936,24,2,False
35.311,24,3,False
35.686,24,4,False
36.061,25,1,True
36.436,25,2,False
36.811,25,3,False
37.186,25,4,False
37.561,26,1,True
37.936,26,2,False
38.311,26,3,False
38.686,26,4,False
39.061,27,1,True
39.436,27,2,False
39.811,27,3,False
40.186,27,4,False
40.561,28,1,True
40.936,28,2,False
41.311,28,3,False
41.686,28,4,False
42.061,29,1,True
42.436,29,2,False
42.811,29,3,False
43.186,29,4,False
43.561,30,1,True
43.936,30,2,False
44.311,30,3,False
44.686,30,4,False
45.061,31,1,True
45.436,31,2,False
45.811,31,3,False
46.186,31,4,False
46.561,32,1,True
46.936,32,2,False
47.311,32,3,False
47.686,32,4,False
48.061,33,1,True
48.436,33,2,False
48.811,33,3,False
49.186,33,4,False
49.561,34,1,True
49.936,34,2,False
50.311,34,3,False
50.686,34,4,False
51.061,35,1,True
51.436,35,2,False
51.811,35,3,False
52.186,35,4,False
52.561,36,1,True
52.936,36,2,False
53.311,36,3,False
53.686,36,4,False
54.061,37,1,True
54.436,37,2,False
54.811,37,3,False
55.186,37,4,False
55.561,38,1,True
55.936,38,2,False
56.311,38,3,False
56.686,38,4,False
57.061,39,1,True
57.436,39,2,False
57.811,39,3,False
58.186,39,4,False
58.561,40,1,True
58.936,40,2,False
59.311,40,3,False
59.686,40,4,False
60.061,41,1,True
60.436,41,2,False
60.811,41,3,False
61.186,41,4,False
61.561,42,1,True
61.936,42,2,False
62.311,42,3,False
62.686,42,4,False
63.061,43,1,True
63.436,43,2,False
63.811,43,3,False
64.186,43,4,False
64.561,44,1,True
64.936,44,2,False
65.311,44,3,False
65.686,44,4,False
66.061,45,1,True
66.436,45,2,False
66.811,45,3,False
67.186,45,4,False
67.561,46,1,True
67.936,46,2,False
68.311,46,3,False
68.686,46,4,False
69.061,47,1,True
69.436,47,2,False
69.811,47,3,False
70.186,47,4,False
70.561,48,1,True
70.936,48,2,False
71.311,48,3,False
71.686,48,4,False
72.061,49,1,True
72.436,49,2,False
72.811,49,3,False
73.186,49,4,False
73.561,50,1,True
73.936,50,2,False
74.311,50,3,False
74.686,50,4,False
75.061,51,1,True
75.436,51,2,False
75.811,51,3,False
76.186,51,4,False
76.561,52,1,True
76.936,52,2,False
77.311,52,3,False
77.686,52,4,False
78.061,53,1,True
78.436,53,2,False
78.811,53,3,False
79.186,53,4,False
79.561,54,1,True
79.936,54,2,False
80.311,54,3,False
80.686,54,4,False
81.061,55,1,True
81.436,55,2,False
81.811,55,3,False
82.186,55,4,False
82.561,56,1,True
82.936,56,2,False
83.311,56,3,False
83.686,56,4,False
84.061,57,1,True
84.436,57,2,False
84.811,57,3,False
85.186,57,4,False
85.561,58,1,True
85.936,58,2,False
86.311,58,3,False
86.686,58,4,False
87.061,59,1,True
87.436,59,2,False
87.811,59,3,False
88.186,59,4,False
88.561,60,1,True
88.936,60,2,False
89.311,60,3,False
89.686,60,4,False
90.061,61,1,True
90.436,61,2,False
90.811,61,3,False
91.186,61,4,False
91.561,62,1,True
91.936,62,2,False
92.311,62,3,False
92.686,62,4,False
93.061,63,1,True
93.436,63,2,False
93.811,63,3,False
94.186,63,4,False
94.561,64,1,True
94.936,64,2,False
95.311,64,3,False
95.686,64,4,False
96.061,65,1,True
96.436,65,2,False
96.811,65,3,False
97.186,65,4,False
97.561,66,1,True
97.936,66,2,False
98.311,66,3,False
98.686,66,4,False
99.061,67,1,True
99.436,67,2,False
99.811,67,3,False
100.186,67,4,False
100.561,68,1,True
100.936,68,2,False
101.311,68,3,False
101.686,68,4,False
102.061,69,1,True
102.436,69,2,False
102.811,69,3,False
103.186,69,4,False
103.561,70,1,True
103.936,70,2,False
104.311,70,3,False
104.686,70,4,False
105.061,71,1,True
105.436,71,2,False
105.811,71,3,False
106.186,71,4,False
106.561,72,1,True
106.936,72,2,False
107.311,72,3,False
107.686,72,4,False
108.061,73,1,True
108.436,73,2,False
108.811,73,3,False
109.186,73,4,False
109.561,74,1,True
109.936,74,2,False
110.311,74,3,False
110.686,74,4,False
111.061,75,1,True
111.436,75,2,False
111.811,75,3,False
112.186,75,4,False
112.561,76,1,True
112.936,76,2,False
113.311,76,3,False
113.686,76,4,False
114.061,77,1,True
114.436,77,2,False
114.811,77,3,False
115.186,77,4,False
115.561,78,1,True
115.936,78,2,False
116.311,78,3,False
116.686,78,4,False
117.061,79,1,True
117.436,79,2,False
117.811,79,3,False
118.186,79,4,False
118.561,80,1,True
118.936,80,2,False
119.311,80,3,False
119.686,80,4,False
120.061,81,1,True
120.436,81,2,False
120.811,81,3,False
121.186,81,4,False
121.561,82,1,True
121.936,82,2,False
122.311,82,3,False
122.686,82,4,False
123.061,83,1,True
123.436,83,2,False
123.811,83,3,False
124.186,83,4,False
124.561,84,1,True
124.936,84,2,False
125.311,84,3,False
125.686,84,4,False
126.061,85,1,True
126.436,85,2,False
126.811,85,3,False
127.186,85,4,False
127.561,86,1,True
127.936,86,2,False
128.311,86,3,False
128.686,86,4,False
129.061,87,1,True
129.436,87,2,False
129.811,87,3,False
130.186,87,4,False
130.561,88,1,True
130.936,88,2,False
131.311,88,3,False
131.686,88,4,False
132.061,89,1,True
132.436,89,2,False
132.811,89,3,False
133.186,89,4,False
133.561,90,1,True
133.936,90,2,False
134.311,90,3,False
134.686,90,4,False
135.061,91,1,True
135.436,91,2,False
135.811,91,3,False
136.186,91,4,False
136.561,92,1,True
136.936,92,2,False
137.311,92,3,False
137.686,92,4,False
138.061,93,1,True
138.436,93,2,False
138.811,93,3,False
139.186,93,4,False
139.561,94,1,True
139.936,94,2,False
140.311,94,3,False
140.686,94,4,False
141.061,95,1,True
141.436,95,2,False
141.811,95,3,False
142.186,95,4,False
142.561,96,1,True
142.936,96,2,False
143.311,96,3,False
143.686,96,4,False
144.061,97,1,True
144.436,97,2,False
