TIME,LABEL
0.035,M1B1
0.41,M1B2
0.785,M1B3
1.16,M1B4
1.535,M2B1
1.91,M2B2
2.285,M2B3
2.66,M2B4
3.035,M3B1
3.41,M3B2
3.785,M3B3
4.16,M3B4
4.535,M4B1
4.91,M4B2
5.285,M4B3
5.66,M4B4
6.035,M5B1
6.41,M5B2
6.785,M5B3
7.16,M5B4
7.535,M6B1
7.91,M6B2
8.285,M6B3
8.66,M6B4
9.035,M7B1
9.41,M7B2
9.785,M7B3
10.16,M7B4
10.535,M8B1
10.91,M8B2
11.285,M8B3
11.66,M8B4
12.035,M9B1
12.41,M9B2
12.785,M9B3
13.16,M9B4
13.535,M10B1
13.91,M10B2
14.285,M10B3
14.66,M10B4
15.035,M11B1
15.41,M11B2
15.785,M11B3
16.16,M11B4
16.535,M12B1
16.91,M12B2
17.285,M12B3
17.66,M12B4
18.035,M13B1
18.41,M13B2
18.785,M13B3
19.16,M13B4
19.535,M14B1
19.91,M14B2
20.285,M14B3
20.66,M14B4
21.035,M15B1
21.41,M15B2
21.785,M15B3
22.16,M15B4
22.535,M16B1
22.91,M16B2
23.285,M16B3
23.66,M16B4
24.035,M17B1
24.41,M17B2
24.785,M17B3
25.16,M17B4
25.535,M18B1
25.91,M18B2
26.285,M18B3
26.66,M18B4
27.035,M19B1
27.41,M19B2
27.785,M19B3
28.16,M19B4
28.535,M20B1
28.91,M20B2
29.285,M20B3
29.66,M20B4
30.035,M21B1
30.41,M21B2
30.785,M21B3
31.16,M21B4
31.535,M22B1
31.91,M22B2
32.285,M22B3
32.66,M22B4
33.035,M23B1
33.41,M23B2
33.785,M23B3
34.16,M23B4
34.535,M24B1
34.91,M24B2
35.285,M24B3
35.66,M24B4
36.035,M25B1
36.41,M25B2
36.785,M25B3
37.16,M25B4
37.535,M26B1
37.91,M26B2
38.285,M26B3
38.66,M26B4
39.035,M27B1
39.41,M27B2
39.785,M27B3
40.16,M27B4
40.535,M28B1
40.91,M28B2
41.285,M28B3
41.66,M28B4
42.035,M29B1
42.41,M29B2
42.785,M29B3
43.16,M29B4
43.535,M30B1
43.91,M30B2
44.285,M30B3
44.66,M30B4
45.035,M31B1
45.41,M31B2
45.785,M31B3
46.16,M31B4
46.535,M32B1
46.91,M32B2
47.285,M32B3
47.66,M32B4
48.035,M33B1
48.41,M33B2
48.785,M33B3
49.16,M33B4
49.535,M34B1
49.91,M34B2
50.285,M34B3
50.66,M34B4
51.035,M35B1
51.41,M35B2
51.785,M35B3
52.16,M35B4
52.535,M36B1
52.91,M36B2
53.285,M36B3
53.66,M36B4
54.035,M37B1
54.41,M37B2
54.785,M37B3
55.16,M37B4
55.535,M38B1
55.91,M38B2
56.285,M38B3
56.66,M38B4
57.035,M39B1
57.41,M39B2
57.785,M39B3
58.16,M39B4
58.535,M40B1
58.91,M40B2
59.285,M40B3
59.66,M40B4
60.035,M41B1
60.41,M41B2
60.785,M41B3
61.16,M41B4
61.535,M42B1
61.91,M42B2
62.285,M42B3
62.66,M42B4
63.035,M43B1
63.41,M43B2
63.785,M43B3
64.16,M43B4
64.535,M44B1
64.91,M44B2
65.285,M44B3
65.66,M44B4
66.035,M45B1
66.41,M45B2
66.785,M45B3
67.16,M45B4
67.535,M46B1
67.91,M46B2
68.285,M46B3
68.66,M46B4
69.035,M47B1
69.41,M47B2
69.785,M47B3
70.16,M47B4
70.535,M48B1
70.91,M48B2
71.285,M48B3
71.66,M48B4
72.035,M49B1
72.41,M49B2
72.785,M49B3
73.16,M49B4
73.535,M50B1
73.91,M50B2
74.285,M50B3
74.66,M50B4
75.035,M51B1
75.41,M51B2
75.785,M51B3
76.16,M51B4
76.535,M52B1
76.91,M52B2
77.285,M52B3
77.66,M52B4
78.035,M53B1
78.41,M53B2
78.785,M53B3
79.16,M53B4
79.535,M54B1
79.91,M54B2
80.285,M54B3
80.66,M54B4
81.035,M55B1
81.41,M55B2
81.785,M55B3
82.16,M55B4
82.535,M56B1
82.91,M56B2
83.285,M56B3
83.66,M56B4
84.035,M57B1
84.41,M57B2
84.785,M57B3
85.16,M57B4
85.535,M58B1
85.91,M58B2
86.285,M58B3
86.66,M58B4
87.035,M59B1
87.41,M59B2
87.785,M59B3
88.16,M59B4
88.535,M60B1
88.91,M60B2
89.285,M60B3
89.66,M60B4
90.035,M61B1
90.41,M61B2
90.785,M61B3
91.16,M61B4
91.535,M62B1
91.91,M62B2
92.285,M62B3
92.66,M62B4
93.035,M63B1
93.41,M63B2
93.785,M63B3
94.16,M63B4
94.535,M64B1
94.91,M64B2
95.285,M64B3
95.66,M64B4
96.035,M65B1
96.41,M65B2
96.785,M65B3
97.16,M65B4
97.535,M66B1
97.91,M66B2
98.285,M66B3
98.66,M66B4
99.035,M67B1
99.41,M67B2
99.785,M67B3
100.16,M67B4
100.535,M68B1
100.91,M68B2
101.285,M68B3
101.66,M68B4
102.035,M69B1
102.41,M69B2
102.785,M69B3
103.16,M69B4
103.535,M70B1
103.91,M70B2
104.285,M70B3
104.66,M70B4
105.035,M71B1
105.41,M71B2
105.785,M71B3
106.16,M71B4
106.535,M72B1
106.91,M72B2
107.285,M72B3
107.66,M72B4
108.035,M73B1
108.41,M73B2
108.785,M73B3
109.16,M73B4
109.535,M74B1
109.91,M74B2
110.285,M74B3
110.66,M74B4
111.035,M75B1
111.41,M75B2
111.785,M75B3
112.16,M75B4
112.535,M76B1
112.91,M76B2
113.285,M76B3
113.66,M76B4
114.035,M77B1
114.41,M77B2
114.785,M77B3
115.16,M77B4
115.535,M78B1
115.91,M78B2
116.285,M78B3
116.66,M78B4
117.035,M79B1
117.41,M79B2
117.785,M79B3
118.16,M79B4
118.535,M80B1
118.91,M80B2
119.285,M80B3
119.66,M80B4
120.035,M81B1
120.41,M81B2
120.785,M81B3
121.16,M81B4
121.535,M82B1
121.91,M82B2
122.285,M82B3
122.66,M82B4
123.035,M83B1
123.41,M83B2
123.785,M83B3
124.16,M83B4
124.535,M84B1
124.91,M84B2
125.285,M84B3
125.66,M84B4
126.035,M85B1
126.41,M85B2
126.785,M85B3
127.16,M85B4
127.535,M86B1
127.91,M86B2
128.285,M86B3
128.66,M86B4
129.035,M87B1
129.41,M87B2
129.785,M87B3
130.16,M87B4
130.535,M88B1
130.91,M88B2
131.285,M88B3
131.66,M88B4
132.035,M89B1
132.41,M89B2
132.785,M89B3
133.16,M89B4
133.535,M90B1
133.91,M90B2
134.285,M90B3
134.66,M90B4
135.035,M91B1
135.41,M91B2
135.785,M91B3
136.16,M91B4
136.535,M92B1
136.91,M92B2
137.285,M92B3
137.66,M92B4
138.035,M93B1
138.41,M93B2
138.785,M93B3
139.16,M93B4
139.535,M94B1
139.91,M94B2
140.285,M94B3
140.66,M94B4
141.035,M95B1
141.41,M95B2
141.785,M95B3
142.16,M95B4
142.535,M96B1
142.91,M96B2
143.285,M96B3
143.66,M96B4
144.035,M97B1
144.41,M97B2
144.785,M97B3
145.16,M97B4
